City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saskylakh,RU,2022-10-16 21:45:17,71.9167,114.0833,17.87,91,65,15.77
68,Dire,ML,2022-10-16 21:45:17,12.2833,-10.9667,75.31,90,100,3.04
69,Suntar,RU,2022-10-16 21:45:18,62.1444,117.6319,31.75,96,100,9.33
70,Cidreira,BR,2022-10-16 21:45:18,-30.1811,-50.2056,64.18,97,79,8.81
71,Lai,TD,2022-10-16 21:45:19,9.3952,16.2989,75.2,74,100,3.65
72,Bradford,GB,2022-10-16 21:44:56,53.7939,-1.7521,53.24,86,40,10.36
73,Barrow,US,2022-10-16 21:45:19,71.2906,-156.7887,28.42,80,100,23.02
74,Victoria,HK,2022-10-16 21:45:20,22.2855,114.1577,81.32,46,100,20.0
75,Kieta,PG,2022-10-16 21:45:20,-6.2167,155.6333,82.9,73,84,2.57
76,Kargasok,RU,2022-10-16 21:45:21,59.0556,80.8572,35.37,80,100,3.74
77,Mount Isa,AU,2022-10-16 21:45:22,-20.7333,139.5,76.77,57,82,1.14
78,Svetlyy,RU,2022-10-16 21:45:22,54.675,20.1347,55.45,88,1,11.14
79,Saint George,US,2022-10-16 21:45:22,37.1041,-113.5841,79.95,21,0,5.75
80,Cape Town,ZA,2022-10-16 21:43:11,-33.9258,18.4232,64.27,86,20,9.22
81,Gizo,SB,2022-10-16 21:45:24,-8.103,156.8419,83.55,73,42,8.88
82,Flinders,AU,2022-10-16 21:45:24,-34.5833,150.8552,61.38,83,94,5.01
83,Hobart,AU,2022-10-16 21:44:36,-42.8794,147.3294,50.05,82,75,2.3
84,Svetlogorsk,BY,2022-10-16 21:45:25,52.6333,29.7333,45.1,61,100,12.15
85,Aviles,ES,2022-10-16 21:44:43,43.5547,-5.9248,65.93,91,75,4.61
86,Castro,BR,2022-10-16 21:45:25,-24.7911,-50.0119,60.82,93,91,0.4
87,Esperance,AU,2022-10-16 21:45:26,-33.8667,121.9,58.19,80,100,20.49
88,Grants,US,2022-10-16 21:40:28,35.1473,-107.8514,46.63,81,100,16.11
89,Inirida,CO,2022-10-16 21:45:27,3.8653,-67.9239,75.72,88,97,4.14
90,Providencia,MX,2022-10-16 21:44:17,28.7167,-111.5833,85.21,46,8,9.04
91,Krabi,TH,2022-10-16 21:46:28,8.0726,98.9105,82.06,99,20,2.3
92,Darhan,MN,2022-10-16 21:46:28,49.4867,105.9228,26.37,56,2,7.0
93,Tiksi,RU,2022-10-16 21:46:28,71.6872,128.8694,18.64,88,100,19.86
94,Avarua,CK,2022-10-16 21:46:29,-21.2078,-159.775,80.65,65,75,10.36
95,Alofi,NU,2022-10-16 21:46:29,-19.0595,-169.9187,80.49,74,26,12.66
96,Ancud,CL,2022-10-16 21:46:30,-41.8697,-73.8203,64.22,79,95,4.61
97,Mugla,TR,2022-10-16 21:46:30,37.2303,28.3557,51.15,84,42,6.46
98,East London,ZA,2022-10-16 21:46:31,-33.0153,27.9116,66.22,91,100,13.58
99,Lanigan,CA,2022-10-16 21:46:31,51.8501,-105.0344,39.09,25,85,3.29
100,Roma,US,2022-10-16 21:46:32,43.2128,-75.4557,60.94,51,0,4.61
101,Morondava,MG,2022-10-16 21:46:32,-20.2833,44.2833,76.64,78,49,10.45
102,Tuktoyaktuk,CA,2022-10-16 21:46:32,69.4541,-133.0374,26.6,80,100,21.85
103,Hobyo,SO,2022-10-16 21:42:56,5.3505,48.5268,77.47,89,42,16.8
104,Laguna,US,2022-10-16 21:46:33,38.421,-121.4238,77.14,55,0,10.36
105,Ilulissat,GL,2022-10-16 21:46:33,69.2167,-51.1,37.42,70,75,2.3
106,Vila Velha,BR,2022-10-16 21:46:34,-20.3297,-40.2925,75.15,79,20,6.91
107,Preobrazheniye,RU,2022-10-16 21:46:34,42.9019,133.9064,44.15,71,100,8.84
108,Leningradskiy,RU,2022-10-16 21:46:34,69.3833,178.4167,15.06,91,100,7.7
109,Kodiak,US,2022-10-16 21:46:35,57.79,-152.4072,51.31,76,100,11.5
110,Nuuk,GL,2022-10-16 21:46:35,64.1835,-51.7216,38.01,70,75,2.3
111,Guerrero Negro,MX,2022-10-16 21:46:35,27.9769,-114.0611,73.94,55,6,14.56
112,Kang,BW,2022-10-16 21:46:36,-23.6752,22.7876,73.24,38,100,11.56
113,Along,IN,2022-10-16 21:46:36,28.1667,94.7667,60.62,70,1,1.97
114,Lakhisarai,IN,2022-10-16 21:46:36,25.1768,86.0932,72.03,66,0,4.29
115,Puerto Ayora,EC,2022-10-16 21:46:37,-0.7393,-90.3518,76.96,85,89,8.99
116,Kruisfontein,ZA,2022-10-16 21:46:37,-34.0033,24.7314,68.88,68,99,6.55
117,Tasiilaq,GL,2022-10-16 21:46:38,65.6145,-37.6368,30.36,62,74,7.47
118,Srandakan,ID,2022-10-16 21:46:38,-7.9386,110.2506,77.38,84,100,6.55
119,Narsaq,GL,2022-10-16 21:46:38,60.9167,-46.05,35.82,71,10,6.62
120,Todos Santos,MX,2022-10-16 21:46:39,23.45,-110.2167,85.3,66,0,13.04
121,Calbuco,CL,2022-10-16 21:46:40,-41.768,-73.1273,60.01,87,92,12.3
122,Craig,US,2022-10-16 21:43:00,40.5153,-107.5464,67.39,20,0,3.44
123,Kavieng,PG,2022-10-16 21:46:40,-2.5744,150.7967,83.21,76,100,12.57
124,Neverkino,RU,2022-10-16 21:46:41,52.7854,46.7417,37.35,75,2,3.8
125,Uirauna,BR,2022-10-16 21:45:40,-6.5183,-38.4122,85.68,27,6,4.99
126,Coquimbo,CL,2022-10-16 21:43:17,-29.9533,-71.3436,58.73,77,40,10.36
127,Luderitz,NA,2022-10-16 21:46:41,-26.6481,15.1594,59.94,85,0,8.23
128,Dauphin,CA,2022-10-16 21:45:00,51.1494,-100.0502,37.54,35,0,11.5
129,Charters Towers,AU,2022-10-16 21:46:42,-20.1,146.2667,75.34,69,83,5.97
130,Airai,TL,2022-10-16 21:46:42,-8.9266,125.4092,62.64,67,71,2.28
131,Cannington,AU,2022-10-16 21:46:43,-32.0167,115.95,52.77,94,0,4.61
132,Isangel,VU,2022-10-16 21:46:43,-19.55,169.2667,80.71,78,20,6.91
133,Eyl,SO,2022-10-16 21:46:43,7.9803,49.8164,77.81,85,41,8.25
134,Aginskoye,RU,2022-10-16 21:46:44,51.1,114.53,23.65,72,19,5.97
135,Soyo,AO,2022-10-16 21:47:45,-6.1349,12.3689,76.86,85,93,7.45
136,Khatanga,RU,2022-10-16 21:47:45,71.9667,102.5,15.42,96,100,7.7
137,Geraldton,AU,2022-10-16 21:47:35,-28.7667,114.6,52.21,93,11,4.61
138,Edd,ER,2022-10-16 21:47:46,13.9297,41.6925,87.39,55,0,14.92
139,Haines Junction,CA,2022-10-16 21:47:46,60.7522,-137.5108,57.15,54,100,5.75
140,Homer,US,2022-10-16 21:47:46,59.6425,-151.5483,52.77,78,100,3.0
141,Broome,US,2022-10-16 21:47:47,42.2506,-75.833,60.19,52,0,5.75
142,Sao Joao Da Barra,BR,2022-10-16 21:47:47,-21.6403,-41.0511,75.29,83,84,10.45
143,Madang,PG,2022-10-16 21:47:48,-5.2246,145.7966,80.44,81,100,3.11
144,Georgetown,MY,2022-10-16 21:44:27,5.4112,100.3354,76.98,93,20,2.3
145,North Myrtle Beach,US,2022-10-16 21:47:48,33.816,-78.68,79.12,69,0,9.22
146,Talara,PE,2022-10-16 21:47:49,-4.5772,-81.2719,64.42,83,61,19.55
147,Peniche,PT,2022-10-16 21:47:49,39.3558,-9.3811,67.28,86,98,10.47
148,Salalah,OM,2022-10-16 21:47:50,17.0151,54.0924,77.09,78,20,2.3
149,Mount Gambier,AU,2022-10-16 21:47:50,-37.8333,140.7667,42.71,100,59,0.0
