City ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
291,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
298,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Hadejia,NG,77.9,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
306,Baracoa,CU,78.49,few clouds,20.3467,-74.4958,Hostal Rio Miel
313,Sao Felix Do Xingu,BR,77.31,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
316,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
323,Harper,LR,75.51,overcast clouds,4.375,-7.7169,Screensaver
324,Bilma,NE,78.19,clear sky,18.6853,12.9164,Expeditions Ténére voyages
326,Zempoala,MX,78.91,scattered clouds,19.45,-96.4167,Panteon Cempoala
329,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
332,Sorong,ID,83.62,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
333,Touros,BR,77.47,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Nyimba,ZM,75.99,clear sky,-14.5566,30.8149,Dali Dali Lodge
338,Benjamin Aceval,PY,78.94,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
340,Mogadishu,SO,77.63,broken clouds,2.0371,45.3438,Hotel Juba
343,Marsh Harbour,BS,79.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
347,Kismayo,SO,76.93,overcast clouds,-0.3582,42.5454,Agan-Hotel
350,Kirakira,SB,84.49,broken clouds,-10.4544,161.9205,SanBiz Lodge
351,Burla,IN,77.61,clear sky,21.5,83.8667,Manoj Kumar Sahoo
361,Katobu,ID,88.14,overcast clouds,-4.9408,122.5276,La Ode Husein
369,Male,MV,75.15,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
373,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
377,Novo Aripuana,BR,75.06,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
378,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
380,Bandarbeyla,SO,76.15,clear sky,9.4942,50.8122,JABIR HOTEL
381,Kudahuvadhoo,MV,81.19,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
382,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Hotel Citra
386,Tamiahua,MX,78.37,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
388,Fare,PF,78.73,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
389,Lagunas,PE,77.67,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
391,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
394,Belize,BZ,79.12,broken clouds,17.25,-88.75,Villa San Juan
405,Yulara,AU,82.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
410,Alenquer,BR,76.19,overcast clouds,-1.9417,-54.7383,Detinha Hotel
415,Bubaque,GW,80.8,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
418,Bafoulabe,ML,78.64,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
422,Pemangkat,ID,83.52,light rain,1.1667,108.9667,Hotel Duyung Permai 2
424,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
426,Ambunti,PG,90.86,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
430,Seaforth,JM,81.45,clear sky,17.9358,-76.4573,"Stewart Field, Seaforth P.O., St. Thomas"
436,Ouahigouya,BF,82.72,scattered clouds,13.5828,-2.4216,Hotel Liberte
437,Gabi,PH,87.26,overcast clouds,7.6215,126.092,Titoy Lodge
440,Ugoofaaru,MV,80.89,overcast clouds,5.6667,73.0,Ungoofaaru Inn
445,Sinnamary,GF,78.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
446,Tambun,ID,89.04,few clouds,-6.2641,107.0712,Metland Hotel Bekasi
452,Gizo,SB,84.76,light rain,-8.103,156.8419,Imagination Island
468,Cockburn Town,TC,81.75,clear sky,21.4612,-71.1419,Osprey Beach Hotel
474,Nuevo Progreso,MX,78.55,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
475,Ranau,MY,79.47,overcast clouds,5.9538,116.6641,The Second Room
477,Sao Filipe,CV,77.34,few clouds,14.8961,-24.4956,Hotel Xaguate
479,Buala,SB,86.16,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
481,Pasighat,IN,76.53,clear sky,28.0667,95.3333,Siang Guest House
482,Nishihara,JP,82.06,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
486,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
